x	y	z	
1.974490387566012117e+01 -7.946995689775883775e+00 1.851577808746805331e+01
1.946757349385249114e+01 -8.378414415432095197e+00 1.846293633080751917e+01
1.917480318457746691e+01 -8.834659300377815327e+00 1.845967006270371158e+01
1.886587224277562314e+01 -9.313873176861630299e+00 1.850990421366518390e+01
1.854014153467991477e+01 -9.813449536616316138e+00 1.861772760997854803e+01
1.819705349781640891e+01 -1.033003253085769479e+01 1.878739297370809425e+01
1.783622377763415301e+01 -1.085959910556695718e+01 1.902310297657422566e+01
1.745928074894038673e+01 -1.139850115224851024e+01 1.932627246526516629e+01
1.706723491694724970e+01 -1.193982390349604472e+01 1.970363327000501386e+01
1.666119466039294394e+01 -1.247481382627130841e+01 2.016187444285005981e+01
1.624318729486499890e+01 -1.299378690236959955e+01 2.070513650602863720e+01
1.581615907280137456e+01 -1.348612862841823201e+01 2.133501145194011528e+01
1.538397518348989657e+01 -1.394029401587722639e+01 2.205054274315568108e+01
1.495141975306947657e+01 -1.434380759103803982e+01 2.284822531241622556e+01
1.452419584452827195e+01 -1.468326339502552180e+01 2.372200556263543092e+01
1.410892545770461481e+01 -1.494432498379673291e+01 2.466328136689844541e+01
1.371314952928789488e+01 -1.511172542814060193e+01 2.566090206845967359e+01
1.334490541311294720e+01 -1.516943447053521865e+01 2.670180760566897149e+01
1.301013273218993760e+01 -1.510591015310864194e+01 2.777178556081299021e+01
1.271876728472624052e+01 -1.491706593295946881e+01 2.884377675557664844e+01
1.248018147944939216e+01 -1.460235633318236026e+01 2.989067046074726619e+01
1.230192491768532292e+01 -1.416455606663970457e+01 3.088785014164710674e+01
1.218972439335917812e+01 -1.360976003596162798e+01 3.181319345813092880e+01
1.214748389299535880e+01 -1.294738333354755966e+01 3.264707226458418177e+01
1.217728459571704214e+01 -1.219016124156387448e+01 3.337235260992696340e+01
1.227938487324655092e+01 -1.135414923194537451e+01 3.397439473761131978e+01
1.245285670035326042e+01 -1.046007022974838918e+01 3.444031027253715393e+01
1.269691500947253893e+01 -9.538810820820971870e+00 3.476005779151620345e+01
1.300526814118235208e+01 -8.615965842411911879e+00 3.493523931835956375e+01
1.337044159500637264e+01 -7.713123660316560048e+00 3.497111104364785916e+01
1.378443726813035042e+01 -6.848819242815268993e+00 3.487558211772525851e+01
1.423873345540369151e+01 -6.038534160669517981e+00 3.465921465069966700e+01
1.472428484933844217e+01 -5.294696587124520626e+00 3.433522371244249882e+01
1.523152254010990703e+01 -4.626681297908114665e+00 3.391947733258844266e+01
1.575035401555517645e+01 -4.040809671232622691e+00 3.343049650053670518e+01
1.627091606291142867e+01 -3.538247082842449043e+00 3.288683585831233103e+01
1.678575180520464727e+01 -3.114373623974582728e+00 3.230010449051783183e+01
1.728824909448403702e+01 -2.766005611301521228e+00 3.168119117818613972e+01
1.777272766201196674e+01 -2.488862646687729274e+00 3.103995236436688643e+01
1.823445648447531653e+01 -2.277483541894532060e+00 3.038514973689672871e+01
1.866965378398433018e+01 -2.125226318581066032e+00 2.972445022840060247e+01
1.907548702807176255e+01 -2.024268208304395245e+00 2.906442601629319356e+01
1.945007292969473411e+01 -1.965605652518871649e+00 2.841055452277609561e+01
1.979252255081056333e+01 -1.941360892596324828e+00 2.776640466504888494e+01
2.010294413848354367e+01 -1.949468216210376692e+00 2.713267129275697087e+01
2.038177484424328867e+01 -1.985670231630707772e+00 2.651087662215705265e+01
2.062961122362517941e+01 -2.046067020927945901e+00 2.590236495134824679e+01
2.084721068529784560e+01 -2.127321983308408271e+00 2.530822316550364448e+01
2.103549149106276417e+01 -2.226661835113850074e+00 2.472928073687152306e+01
2.119553275585521490e+01 -2.341876609821814004e+00 2.416610972477282004e+01
2.132857444774361966e+01 -2.471319658045412204e+00 2.361902477560282421e+01
2.143616513000911539e+01 -2.614000255536699679e+00 2.308824381105486978e+01
2.151988178980253963e+01 -2.769470835929562114e+00 2.257430707646739521e+01
2.158042188619479873e+01 -2.937171318938570419e+00 2.207747544667013884e+01
2.161847179655817541e+01 -3.116841788375414257e+00 2.159809021963755171e+01
2.163476220188403687e+01 -3.308553171060717002e+00 2.113660871564028554e+01
2.163006808678301240e+01 -3.512707236824800905e+00 2.069360427724317475e+01
2.160520873948485843e+01 -3.730036598507185275e+00 2.026976626930658298e+01
2.156104775183846201e+01 -3.961604711956878688e+00 1.986590007898580268e+01
2.149849301931197587e+01 -4.208805876031714632e+00 1.948292711573217773e+01
2.141838691746048795e+01 -4.473235799033182580e+00 1.912191337124943757e+01
2.132039241222539516e+01 -4.755626182730191331e+00 1.878417490029277559e+01
2.120404344909872663e+01 -5.057106063546901176e+00 1.847097920968606388e+01
2.106899020974204362e+01 -5.378937347389761037e+00 1.818388584673230568e+01
2.091488799757972217e+01 -5.722337080123389264e+00 1.792480969330936702e+01
2.074139723779916977e+01 -6.088477447569995427e+00 1.769602096587077256e+01
2.054818347735121975e+01 -6.478485775508536548e+00 1.750014521544606083e+01
2.033491738494943135e+01 -6.893444529676269639e+00 1.734016332763984636e+01
2.010127475107054096e+01 -7.334391315767737396e+00 1.721941152263245201e+01
1.984696118243570240e+01 -7.802216964567691093e+00 1.714151877987447747e+01
1.957204421963373164e+01 -8.295216101811789144e+00 1.710919338228746867e+01
1.927540927349398814e+01 -8.813899588443931066e+00 1.712782020373623482e+01
1.895594459843171364e+01 -9.358870350457969778e+00 1.720370794760939148e+01
1.861308854009994462e+01 -9.929060794820419034e+00 1.734290198681816975e+01
1.824682953538812669e+01 -1.052173280947277334e+01 1.755118436379673241e+01
1.785770611242303119e+01 -1.113247776332998917e+01 1.783407379050201058e+01
1.744680689056821876e+01 -1.175521650628129322e+01 1.819682564841401273e+01
1.701577058042522239e+01 -1.238219936918840958e+01 1.864443198853474470e+01
1.656678598383180656e+01 -1.300400616388823138e+01 1.918162153138974801e+01
1.610259199386278084e+01 -1.360954618319145659e+01 1.981285966702761669e+01
1.562647759483104082e+01 -1.418605820088133029e+01 2.054234845501835949e+01
1.514231926497880742e+01 -1.471998602940796452e+01 2.137330480735140981e+01
1.465568462302412911e+01 -1.519793186773746463e+01 2.230218041146648744e+01
1.417402804307764796e+01 -1.559713263283510543e+01 2.332324585558506413e+01
1.370546506299490730e+01 -1.589633981388729289e+01 2.442716124908695363e+01
1.325870065081519655e+01 -1.607746672272319088e+01 2.560026577457507102e+01
1.284302920476292798e+01 -1.612558849381351322e+01 2.682457768787256924e+01
1.246833455324703976e+01 -1.602894208427072442e+01 2.807779431802445202e+01
1.214508995486204057e+01 -1.577892627384939672e+01 2.933329206729397498e+01
1.188435809838638946e+01 -1.537010166494583174e+01 3.056012641116800665e+01
1.169521463860882449e+01 -1.479450867913469025e+01 3.172466000064037672e+01
1.158443156182655365e+01 -1.406611772262694160e+01 3.279455807259743949e+01
1.155874755823355748e+01 -1.321766383084786334e+01 3.374157423846049397e+01
1.162171583179254064e+01 -1.227900348371208139e+01 3.454349652683487903e+01
1.177369030999217081e+01 -1.127705111088490497e+01 3.518415430576423120e+01
1.201182564384657070e+01 -1.023577909178520962e+01 3.565341828272882907e+01
1.233007720789597528e+01 -9.176217755581149049e+00 3.594720050464829342e+01
1.271920110020665540e+01 -8.116455381192221097e+00 3.606745435787969001e+01
1.316763465390853582e+01 -7.074170675859241975e+00 3.602254031890418418e+01
1.366948969168905315e+01 -6.088953042702741847e+00 3.582929260643788183e+01
1.421336793810699817e+01 -5.183124379160966910e+00 3.550424824241059696e+01
1.478667584111865629e+01 -4.368664081146096834e+00 3.506451558468990726e+01
1.537772108008388372e+01 -3.652949220917569573e+00 3.452869364727738599e+01
1.597571256576855703e+01 -3.038754547078606372e+00 3.391687210030669775e+01
1.657076044034337770e+01 -2.524252484578270561e+00 3.325063127004428765e+01
1.715387607738258424e+01 -2.103013134712231391e+00 3.255304213889105114e+01
1.771708176097724774e+01 -1.765764807179697637e+00 3.184048223587126003e+01
1.825476694079942064e+01 -1.504745470067129887e+00 3.111571306220714206e+01
1.876299516556098723e+01 -1.311616511341159974e+00 3.038668171986482847e+01
1.923867777260951684e+01 -1.178119154179176231e+00 2.966004923402921278e+01
1.967956977953043918e+01 -1.096094268264597993e+00 2.894106356577818318e+01
2.008426988414556646e+01 -1.057482369787463572e+00 2.823355961208470788e+01
2.045222046451372222e+01 -1.054323621444278380e+00 2.753995920581581558e+01
2.078373637878498670e+01 -1.079046124401327411e+00 2.686137108864990353e+01
2.108011370828148046e+01 -1.127608494855759869e+00 2.619881470575337445e+01
2.134275068952565135e+01 -1.196337365802046859e+00 2.555278715255512267e+01
2.157308368051175762e+01 -1.281735552145812251e+00 2.492352706915431071e+01
2.177264641147103674e+01 -1.380940008582366207e+00 2.431118296694537406e+01
2.194306998487094518e+01 -1.491721829596519777e+00 2.371581322861988639e+01
2.208608287541542836e+01 -1.612486249462716126e+00 2.313738610816567132e+01
2.220351093004456189e+01 -1.742272642244680814e+00 2.257577973086843315e+01
2.229730266928489968e+01 -1.880729646374216690e+00 2.203083025690722607e+01
2.236907423215691182e+01 -2.027662887580987228e+00 2.150253587259640042e+01
2.241973209437053072e+01 -2.182909813000355470e+00 2.099085187193901447e+01
2.245015417985862882e+01 -2.346611983739233853e+00 2.049580815196382488e+01
2.246123444196682328e+01 -2.519224881366813218e+00 2.001752836371667854e+01
2.245388286345349371e+01 -2.701517907914796623e+00 1.955622991225980201e+01
2.242902545648985679e+01 -2.894574385876876654e+00 1.911222395667309115e+01
2.238760426265989167e+01 -3.099791558209506803e+00 1.868591541005216428e+01
2.233053217117815237e+01 -3.318841556540199189e+00 1.827781519392109999e+01
2.225777438935446995e+01 -3.552912299680202057e+00 1.788865585711266348e+01
2.216898137283758174e+01 -3.803233518999631357e+00 1.751913262226661772e+01
2.206388573547835108e+01 -4.071280143106173810e+00 1.717014249369680812e+01
2.194216923185246415e+01 -4.358642244578796010e+00 1.684286412166411750e+01
2.180346275726078176e+01 -4.667025039966910427e+00 1.653875780237736492e+01
2.164734634772883481e+01 -4.998248889791605976e+00 1.625956547799193075e+01
2.147334918000712989e+01 -5.354249298544837998e+00 1.600731073661068038e+01
2.128094957129604481e+01 -5.737075741243977234e+00 1.578429895605703059e+01
2.106943541571222767e+01 -6.147597225264236798e+00 1.559329484566289814e+01
2.083757668933997209e+01 -6.587622993227219226e+00 1.543739780962266472e+01
2.058412813843013822e+01 -7.059804023858847977e+00 1.532013849723961307e+01
2.030796695990476053e+01 -7.565921552328951805e+00 1.524569051157285848e+01
2.000809280135597845e+01 -8.106887070253275596e+00 1.521887040943684255e+01
1.968362776104673628e+01 -8.682742325692162311e+00 1.524513770140169377e+01
1.933381638791033907e+01 -9.292659323151323036e+00 1.533059485179322046e+01
1.895802568155149359e+01 -9.934940323580075727e+00 1.548198727869261937e+01
