x	z
1.031337853346889588e+01 3.887993033008266508e+01
9.236347851906042905e+00 3.775169299972922943e+01
8.177656584369179527e+00 3.659465033594612748e+01
7.155195419438586946e+00 3.543870033875406023e+01
6.181720014112626949e+00 3.430430753212181116e+01
5.266597543284687433e+00 3.320780163870372803e+01
4.415912044359859401e+00 3.215917029320830522e+01
3.632481361539135811e+00 3.116210297769649529e+01
2.916735023979400765e+00 3.021713785055733226e+01
2.266498431213976872e+00 2.932241109219449626e+01
1.678468472776264431e+00 2.847476742221411428e+01
1.148916786889092378e+00 2.767104781029388150e+01
6.736897604647182902e-01 2.690808947618307201e+01
2.482085291048292675e-01 2.618272588970253523e+01
-1.325310228994602824e-01 2.549178677074467814e+01
-4.740664290664239888e-01 2.483215876261918709e+01
-7.814498427728983065e-01 2.420151673968064543e+01
-1.058778610484434557e+00 2.359817009468890348e+01
-1.310164600538834323e+00 2.302064464966488799e+01
-1.539755945401337200e+00 2.246767756340238265e+01
-1.751737041664621630e+00 2.193821733146803865e+01
-1.950328550048803899e+00 2.143142378620136412e+01
-2.139353697522441866e+00 2.094682107423870931e+01
-2.321255303537534509e+00 2.048452506693090669e+01
-2.498364222722478267e+00 2.004479202617786626e+01
-2.673077272346825239e+00 1.962801662275655445e+01
-2.847854939157967280e+00 1.923473306025855223e+01
-3.025221379381130227e+00 1.886561507509004798e+01
-3.207764417177839000e+00 1.852147593825512573e+01
-3.397757299646552376e+00 1.820350193343258738e+01
-3.596562661071077027e+00 1.791340933785774681e+01
-3.805519123365144196e+00 1.765315730748762135e+01
-4.026060829223112592e+00 1.742502920803981326e+01
-4.259717442119944408e+00 1.723163261499252741e+01
-4.508114146311259063e+00 1.707589931358452162e+01
-4.772971646833259030e+00 1.696108529881517768e+01
-5.056100915455382427e+00 1.689076594697948153e+01
-5.358499076392654104e+00 1.686852220911843503e+01
-5.680931280472590217e+00 1.689971693187632340e+01
-6.024296080726712077e+00 1.699047489410111211e+01
-6.389090588437484897e+00 1.714682938187549155e+01
-6.775410473138448353e+00 1.737472218851689121e+01
-7.182949962614078920e+00 1.768000361457742642e+01
-7.611001842899931091e+00 1.806843246784400137e+01
-8.058457458282493491e+00 1.854567606333816343e+01
-8.523806711299336314e+00 1.911731022331628083e+01
-9.004899554510883419e+00 1.978813953265944292e+01
-9.497310972373735893e+00 2.055952331848664727e+01
-9.996083231192976370e+00 2.143411728340138467e+01
-1.049533444799449811e+01 2.241060630369787532e+01
-1.098805796421851433e+01 2.348284222989832060e+01
-1.146612234571973943e+01 2.463984388675325476e+01
-1.192027138276720777e+01 2.586579707324116129e+01
-1.234012409004445487e+01 2.714005456256889204e+01
-1.271417470664933980e+01 2.843713610217122323e+01
-1.303144518420663722e+01 2.972903762183203114e+01
-1.328369163933169084e+01 3.098442645369576454e+01
-1.345948179132628120e+01 3.216316770032582895e+01
-1.355031604050376615e+01 3.323124003463624376e+01
-1.355106778709196114e+01 3.416155457453670152e+01
-1.345998343123309482e+01 3.493395488293221263e+01
-1.327868237298382326e+01 3.553521696772341443e+01
-1.301215701231525124e+01 3.595904928180631543e+01
-1.266877274911288609e+01 3.620609272307249427e+01
-1.225541065724387835e+01 3.628178384500830589e+01
-1.177722352558856400e+01 3.619344862956445041e+01
-1.124735186619999183e+01 3.595380508677232712e+01
-1.067850039678851992e+01 3.557864341259730168e+01
-1.008278144121753961e+01 3.508677208946969017e+01
-9.471714929503676217e+00 3.450001788628483723e+01
-8.856228397816575892e+00 3.384322585840295972e+01
-8.246656988479125872e+00 3.314425934764938120e+01
-7.652688888891517216e+00 3.242806746737026913e+01
-7.081692657476824415e+00 3.169514192967869093e+01
-6.538512951892731628e+00 3.095331586864932305e+01
-6.027010021569627618e+00 3.021051768150771366e+01
-5.550120900855511685e+00 2.947312913057400863e+01
-5.109859409016170417e+00 2.874598534326319665e+01
-4.707316150235006269e+00 2.803237481208484994e+01
-4.342658513613201876e+00 2.733403939464338706e+01
-4.014934410529676256e+00 2.665185044107777657e+01
-3.722597160639192992e+00 2.598655506836206541e+01
-3.464183623889697472e+00 2.533839134601381460e+01
-3.238119876593138713e+00 2.470749147616566432e+01
-3.042721037328297573e+00 2.409388216380911274e+01
-2.876191266940866242e+00 2.349748461679472911e+01
-2.736623768543375412e+00 2.291811454583194774e+01
-2.621984478703402566e+00 2.235550046087573861e+01
-2.530358397689192795e+00 2.180950684928294692e+01
-2.460597192692000945e+00 2.128000421747414350e+01
-2.411649933450751071e+00 2.076690595447976406e+01
-2.382454590509198500e+00 2.027020296776877828e+01
-2.371938035215943597e+00 1.978996368324886035e+01
-2.379016039724426435e+00 1.932633404526621490e+01
-2.402593276992925908e+00 1.887953751660575819e+01
-2.441624011351601453e+00 1.844989012638348669e+01
-2.495986433332493259e+00 1.803789336998089965e+01
-2.565839040789415826e+00 1.764401846401387175e+01
-2.651300683928540902e+00 1.726891032768946843e+01
-2.752542458260863079e+00 1.691343998223050349e+01
-2.869787704602166478e+00 1.657870455087568828e+01
-3.003312009073062949e+00 1.626602725887948608e+01
-3.153443203098949432e+00 1.597695743351223996e+01
-3.320584661676741156e+00 1.571330883738601614e+01
-3.505620838113672200e+00 1.547741143422828891e+01
