x y z
-4.508435566414998978e-03 7.012909928177040548e-04 2.081780031312297706e-05
-4.590352804634130826e-03 3.728012224384011646e-04 2.121031962246399560e-05
-4.648548437943720094e-03 3.606531438446368762e-05 2.161030328681065189e-05
-4.682255011075672248e-03 -3.072197773366244994e-04 2.201789598033000145e-05
-4.690825230119551048e-03 -6.552891138411293202e-04 2.243324516224482802e-05
-4.673737780250290449e-03 -1.006318184272330437e-03 2.285650112653606989e-05
-4.630602561987236417e-03 -1.358431803715945147e-03 2.328781705242971724e-05
-4.561165306387392725e-03 -1.709713456543598140e-03 2.372734905567825019e-05
-4.465311532221040262e-03 -2.058215042424088072e-03 2.417525624064700875e-05
-4.343069811074164177e-03 -2.401966979238488644e-03 2.463170075321584568e-05
-4.194614309458000179e-03 -2.738988614324043384e-03 2.509684783450655840e-05
-4.020266580369958459e-03 -3.067298892870917379e-03 2.557086587544671525e-05
-3.820496580327090250e-03 -3.384927229925233181e-03 2.605392647218030452e-05
-3.595922891669080246e-03 -3.689924530326669540e-03 2.654620448233621448e-05
-3.347312133884873097e-03 -3.980374299046802143e-03 2.704787808216523045e-05
-3.075577551838150174e-03 -4.254403782809704562e-03 2.755912882455627245e-05
-2.781776773032092458e-03 -4.510195082583743492e-03 2.808014169794342344e-05
-2.467108730443963536e-03 -4.745996175544300172e-03 2.861110518611395000e-05
-2.132909751952097484e-03 -4.960131784434457930e-03 2.915221132892931603e-05
-1.780648821950907637e-03 -5.151014031902333840e-03 2.970365578396989264e-05
-1.411922025379439786e-03 -5.317152817379174230e-03 3.026563788911486368e-05
-1.028446189052176392e-03 -5.457165854387496448e-03 3.083836072606876494e-05
-6.320517398519284302e-04 -5.569788306838621347e-03 3.142203118484608560e-05
-2.246748040000450452e-04 -5.653881963896411830e-03 3.201686002922560361e-05
1.916514237691098758e-04 -5.708443894350995716e-03 3.262306196318589369e-05
6.148060077579796650e-04 -5.732614523161207523e-03 3.324085569833410336e-05
1.042590257758678690e-03 -5.725685074885454064e-03 3.387046402233935750e-05
1.472738332258567793e-03 -5.687104331123148983e-03 3.451211386838342915e-05
1.902928412064235943e-03 -5.616484651826128376e-03 3.516603638563978287e-05
2.330794393998917875e-03 -5.513607213403659557e-03 3.583246701079364864e-05
2.753938050513626314e-03 -5.378426419925132380e-03 3.651164554061546598e-05
3.169941597459821105e-03 -5.211073447409194856e-03 3.720381620559926533e-05
3.576380608924312546e-03 -5.011858885163173773e-03 3.790922774467888186e-05
3.970837214949257676e-03 -4.781274442385463619e-03 3.862813348103440918e-05
4.350913515171957700e-03 -4.519993692749480971e-03 3.936079139900109010e-05
4.714245138944120686e-03 -4.228871834429974268e-03 4.010746422209341094e-05
5.058514880345570813e-03 -3.908944447990999466e-03 4.086841949215722021e-05
5.381466334712840457e-03 -3.561425239705971225e-03 4.164392964966238719e-05
5.680917461874774275e-03 -3.187702763200352465e-03 4.243427211514888911e-05
5.954774000240747878e-03 -2.789336117770040147e-03 4.323972937183963528e-05
6.201042655234593505e-03 -2.368049627307977807e-03 4.406058904943234086e-05
6.417843985321993600e-03 -1.925726509437582180e-03 4.489714400908433468e-05
6.603424909048466809e-03 -1.464401550177060968e-03 4.574969242960273555e-05
6.756170757097932668e-03 -9.862528052121241531e-04 4.661853789485404442e-05
6.874616794402466612e-03 -4.935923546057440197e-04 4.750398948240568147e-05
6.957459138785935908e-03 1.114385650994476937e-05 4.840636185341384758e-05
7.003565004507488791e-03 5.254070530628581230e-04 4.932597534377017832e-05
7.011982201384749959e-03 1.046547497242870462e-03 5.026315605652184766e-05
6.981947822915916466e-03 1.571827138605775762e-03 5.121823595557792845e-05
6.912896059979031262e-03 2.098432992650221905e-03 5.219155296071657189e-05
6.804465080256135064e-03 2.623491188374912821e-03 5.318345104390594867e-05
6.656502917498605641e-03 3.144081620487420951e-03 5.419428032695425935e-05
6.469072319103932704e-03 3.657253137356542873e-03 5.522439718050100444e-05
6.242454505197356750e-03 4.160039191510944180e-03 5.627416432436580434e-05
5.977151797485320828e-03 4.649473875513735616e-03 5.734395092926672258e-05
5.673889081551317451e-03 5.122608262416426111e-03 5.843413271992428735e-05
5.333614071974806733e-03 5.576526966741647724e-03 5.954509207956447961e-05
4.957496355645052942e-03 6.008364839089046922e-03 6.067721815583552747e-05
4.546925194887930718e-03 6.415323705024266084e-03 6.183090696815292018e-05
4.103506078493481500e-03 6.794689056921918158e-03 6.300656151648741381e-05
3.629056015396408836e-03 7.143846605906781048e-03 6.420459189161069943e-05
3.125597572586616500e-03 7.460298599992756623e-03 6.542541538681323477e-05
2.595351665777729903e-03 7.741679813971547724e-03 6.666945661110977074e-05
2.040729118404402409e-03 7.985773116564454099e-03 6.793714760394715523e-05
1.464321011613954572e-03 8.190524520833493763e-03 6.922892795142885443e-05
8.688878550296021781e-04 8.354057624858393996e-03 7.054524490407261734e-05
2.573476151500569248e-04 8.474687351229691010e-03 7.188655349611593377e-05
-3.672373547247698698e-04 8.550932895987324936e-03 7.325331666638343461e-05
-1.001674432231237487e-03 8.581529800248224524e-03 7.464600538073409668e-05
-1.642655833752773445e-03 8.565441060910956861e-03 7.606509875610142511e-05
-2.286774648120893424e-03 8.501867200495127203e-03 7.751108418614331013e-05
-2.930541725652493872e-03 8.390255220356910779e-03 7.898445746851668269e-05
-3.570403345863293072e-03 8.230306366207891869e-03 8.048572293379395036e-05
-4.202759581393508345e-03 8.021982640036029802e-03 8.201539357603437300e-05
-4.823983270220266739e-03 7.765511998166311873e-03 8.357399118502996155e-05
-5.430439503146087740e-03 7.461392181282837550e-03 8.516204648023817858e-05
